what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423710198425
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1423710198935
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1423710199787
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1423710201128
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1423710202452
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423710204817
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423710218555
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.newWizard",1423710218578
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1423710225969
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423710236385
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423710241973
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423710242296
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1423710242360
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423710242400
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1423710242408
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423710242424
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423710242598
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1423710242608
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1423710245847
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1423710247236
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1423710247964
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1423710257781
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildProject",1423710265673
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423710265985
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423710280570
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1423710294581
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1423710294789
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1423710294836
