what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1423681836293
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1423681836293
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20100503,"org.eclipse.equinox.simpleconfigurator.manipulator",1423681836294
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1423681836294
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1423681836294
started,bundle,org.eclipse.jface,3.6.1.M20100825-0800,"org.eclipse.jface",1423681836294
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1423681836294
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1423681836295
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1423681836295
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1423681836295
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1423681836295
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1423681836295
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1423681836295
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1423681836295
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1423681836295
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1423681836295
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1423681836295
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1423681836295
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1423681836295
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1423681836295
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1423681836295
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1423681836295
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1423681836295
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1423681836295
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1423681836296
started,bundle,com.altera.sbtgui.project,11.0.0.157,"com.altera.sbtgui.project",1423681836296
os,sysinfo,,,"win32",1423681836299
arch,sysinfo,,,"x86",1423681836299
ws,sysinfo,,,"win32",1423681836299
locale,sysinfo,,,"en_US",1423681836299
processors,sysinfo,,,"4",1423681836299
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1423681836299
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1423681836299
java.specification.name,sysinfo,,,"Java Platform API Specification",1423681836299
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1423681836299
java.specification.version,sysinfo,,,"1.6",1423681836299
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1423681836299
java.version,sysinfo,,,"1.6.0_23",1423681836299
java.vm.info,sysinfo,,,"mixed mode",1423681836299
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1423681836299
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1423681836299
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1423681836299
java.vm.specification.version,sysinfo,,,"1.0",1423681836299
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1423681836299
java.vm.version,sysinfo,,,"19.0-b09",1423681836299
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1423681836337
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1423681836387
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1423681836441
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1423681836483
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1423681836568
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1423681836585
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1423681837007
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1423681837014
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1423681837151
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1423681837154
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1423681837156
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1423681837210
started,bundle,com.altera.sbtgui.integration,11.0.0.157,"com.altera.sbtgui.integration",1423681838791
started,bundle,com.altera.systemconsole,11.0.0.157,"com.altera.systemconsole",1423681838795
started,bundle,com.altera.utilities,11.0.0.157,"com.altera.utilities",1423681838943
started,bundle,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch",1423681839698
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1423681841211
started,bundle,com.altera.sbtgui.core,11.0.0.157,"com.altera.sbtgui.core",1423681842126
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1423681842508
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1423681845536
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423681845553
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1423681845626
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1423681845754
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423681847003
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1423681858957
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423681861489
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423681870269
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423681870857
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423681871882
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423681879345
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423681881046
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423681881213
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1423681884630
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1423681887432
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1423681916398
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1423681919258
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423681921396
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423681938609
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1423681942946
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1423681967415
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1423681970248
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1423681970286
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildProject",1423681973623
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423681973904
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423681977174
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1423681984650
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildProject",1423681986983
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423681987280
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423681990301
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1423681994437
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1423681996427
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1423681996427
error,log,,,"The system console model is invalid. Cannot launch.",1423682002336
