what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423684306750
error,log,,,"No Byte Stream Services found for Nios II Console View",1423684310928
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1423684351874
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1423684352054
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1423684356994
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1423684518579
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1423684519461
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1423684520154
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1423684520567
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildProject",1423684536576
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423684536929
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423684539635
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1423684540617
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildProject",1423684542567
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423684542878
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423684545842
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423684548487
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423684549545
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423684549563
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423684551523
error,log,,,"No Byte Stream Services found for Nios II Console View",1423684555492
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1423684586573
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1423684587111
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1423684597918
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildProject",1423684600064
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423684600418
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423684603624
error,log,,,"No Byte Stream Services found for Nios II Console View",1423684612851
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1423684627052
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildProject",1423684628928
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423684629265
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423684632188
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423684634854
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423684635912
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423684635932
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423684637903
error,log,,,"No Byte Stream Services found for Nios II Console View",1423684641836
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1423684739992
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1423684742707
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1423684744414
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildProject",1423684746944
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423684747311
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423684750348
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423684751766
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423684753248
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423684753269
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423684755072
error,log,,,"No Byte Stream Services found for Nios II Console View",1423684759070
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1423684786671
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildProject",1423684788688
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423684789042
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423684792014
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423684797785
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423684799377
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423684799399
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1423684801232
error,log,,,"No Byte Stream Services found for Nios II Console View",1423684805174
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1423684837564
